
Trackpoint	58 58.320 5 44.466	03/08/2011 14:29:41 	0 m			30 m	0:09:10	0.2 kph	35° true
Trackpoint	58 58.321 5 44.471	03/08/2011 14:29:44 	0 m			5 m	0:00:03	6 kph	65° true
Trackpoint	58 58.323 5 44.476	03/08/2011 14:29:47 	0 m			5 m	0:00:03	6 kph	59° true
Trackpoint	58 58.324 5 44.481	03/08/2011 14:29:50 	0 m			6 m	0:00:03	7 kph	64° true
Trackpoint	58 58.326 5 44.487	03/08/2011 14:29:54 	0 m			6 m	0:00:04	6 kph	58° true
Trackpoint	58 58.329 5 44.489	03/08/2011 14:29:58 	0 m			6 m	0:00:04	6 kph	19° true
Trackpoint	58 58.333 5 44.490	03/08/2011 14:30:01 	0 m			7 m	0:00:03	8 kph	10° true
Trackpoint	58 58.335 5 44.491	03/08/2011 14:30:03 	0 m			5 m	0:00:02	10 kph	12° true
Trackpoint	58 58.340 5 44.493	03/08/2011 14:30:06 	0 m			9 m	0:00:03	11 kph	10° true
Trackpoint	58 58.344 5 44.495	03/08/2011 14:30:08 	0 m			7 m	0:00:02	12 kph	16° true
Trackpoint	58 58.347 5 44.497	03/08/2011 14:30:10 	0 m			7 m	0:00:02	12 kph	17° true
Trackpoint	58 58.353 5 44.500	03/08/2011 14:30:13 	0 m			10 m	0:00:03	12 kph	14° true
Trackpoint	58 58.358 5 44.502	03/08/2011 14:30:16 	0 m			11 m	0:00:03	13 kph	15° true
Trackpoint	58 58.362 5 44.505	03/08/2011 14:30:18 	0 m			7 m	0:00:02	13 kph	18° true
Trackpoint	58 58.368 5 44.509	03/08/2011 14:30:21 	0 m			11 m	0:00:03	13 kph	21° true
Trackpoint	58 58.372 5 44.513	03/08/2011 14:30:24 	0 m			9 m	0:00:03	11 kph	28° true
Trackpoint	58 58.374 5 44.518	03/08/2011 14:30:26 	0 m			5 m	0:00:02	9 kph	53° true
Trackpoint	58 58.377 5 44.524	03/08/2011 14:30:29 	0 m			9 m	0:00:03	11 kph	44° true
Trackpoint	58 58.381 5 44.532	03/08/2011 14:30:32 	0 m			11 m	0:00:03	13 kph	43° true
Trackpoint	58 58.384 5 44.536	03/08/2011 14:30:34 	0 m			6 m	0:00:02	11 kph	36° true
Trackpoint	58 58.387 5 44.541	03/08/2011 14:30:36 	0 m			7 m	0:00:02	12 kph	41° true
Trackpoint	58 58.390 5 44.549	03/08/2011 14:30:39 	0 m			10 m	0:00:03	12 kph	55° true
