
Trackpoint	59 00.875 6 25.723	06/08/2011 06:15:00 	30 m	
Trackpoint	59 00.890 6 25.750	06/08/2011 06:17:28 	41 m			38 m	0:02:28	0.9 kph	44° true
Trackpoint	59 00.885 6 25.754	06/08/2011 06:18:34 	-21 m			10 m	0:01:06	0.5 kph	158° true
Trackpoint	59 00.885 6 25.744	06/08/2011 06:19:17 	-28 m			9 m	0:00:43	0.8 kph	262° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:19:46 	-22 m			19 m	0:00:29	2 kph	182° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:19:52 	-22 m			0 m	0:00:06	0 kph	180° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:19:57 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:02 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:07 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:12 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:17 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:22 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:27 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:32 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:37 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:42 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:47 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:52 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:20:57 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.875 6 25.744	06/08/2011 06:21:02 	-22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.881 6 25.751	06/08/2011 06:21:07 	17 m			14 m	0:00:05	10 kph	30° true
Trackpoint	59 00.877 6 25.770	06/08/2011 06:21:23 	12 m			19 m	0:00:16	4 kph	114° true
Trackpoint	59 00.877 6 25.770	06/08/2011 06:22:10 	12 m			0 m	0:00:47	0 kph	0° true
Trackpoint	59 00.877 6 25.770	06/08/2011 06:22:56 	12 m			0 m	0:00:46	0 kph	0° true
Trackpoint	59 00.877 6 25.770	06/08/2011 06:23:13 	12 m			0 m	0:00:17	0 kph	0° true
Trackpoint	59 00.877 6 25.770	06/08/2011 06:24:37 	12 m			0 m	0:01:24	0 kph	0° true
Trackpoint	59 00.877 6 25.770	06/08/2011 06:25:31 	12 m			0 m	0:00:54	0 kph	0° true
Trackpoint	59 00.877 6 25.770	06/08/2011 06:26:25 	12 m			0 m	0:00:54	0 kph	0° true
Trackpoint	59 00.877 6 25.770	06/08/2011 06:27:19 	12 m			0 m	0:00:54	0 kph	0° true
Trackpoint	59 00.877 6 25.770	06/08/2011 06:28:13 	12 m			0 m	0:00:54	0 kph	0° true
Trackpoint	59 00.877 6 25.770	06/08/2011 06:29:07 	12 m			0 m	0:00:54	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:29:52 	14 m			20 m	0:00:45	2 kph	274° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:29:57 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:02 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:07 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:12 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:17 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:22 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:27 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:32 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:37 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:42 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:47 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:52 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:30:57 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:31:02 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:31:07 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:31:12 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:31:17 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:31:22 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:31:27 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:31:32 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:31:37 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:31:42 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:31:47 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.878 6 25.749	06/08/2011 06:31:52 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.873 6 25.741	06/08/2011 06:31:57 	5 m			12 m	0:00:05	9 kph	219° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:02 	-2 m			3 m	0:00:05	2 kph	190° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:07 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:12 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:17 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:22 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:27 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:32 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:37 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:42 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:47 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:52 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:32:57 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:02 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:07 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:12 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:17 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:22 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:27 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:32 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:37 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:42 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:47 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:52 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:57 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:02 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:07 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:12 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:17 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:22 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:27 	-2 m			0 m	0:00:05	0 kph	0° true
