
Trackpoint	59 00.870 6 25.571	04/08/2011 05:21:45 	8 m	
Trackpoint	59 00.877 6 25.624	04/08/2011 05:22:27 	8 m			52 m	0:00:42	4 kph	74° true
Trackpoint	59 00.874 6 25.704	04/08/2011 05:23:26 	25 m			76 m	0:00:59	5 kph	95° true
Trackpoint	59 00.878 6 25.721	04/08/2011 05:23:43 	56 m			18 m	0:00:17	4 kph	63° true
Trackpoint	59 00.878 6 25.721	04/08/2011 05:23:48 	56 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.881 6 25.704	04/08/2011 05:23:53 	-12 m			16 m	0:00:05	12 kph	286° true
Trackpoint	59 00.880 6 25.704	04/08/2011 05:23:58 	-13 m			1 m	0:00:05	0.5 kph	148° true
Trackpoint	59 00.890 6 25.703	04/08/2011 05:24:06 	-30 m			18 m	0:00:08	8 kph	355° true
Trackpoint	59 00.899 6 25.731	04/08/2011 05:24:21 	-0 m			32 m	0:00:15	8 kph	58° true
Trackpoint	59 00.890 6 25.752	04/08/2011 05:24:26 	15 m			26 m	0:00:05	19 kph	130° true
Trackpoint	59 00.889 6 25.761	04/08/2011 05:24:31 	17 m			9 m	0:00:05	6 kph	107° true
Trackpoint	59 00.890 6 25.768	04/08/2011 05:24:36 	17 m			7 m	0:00:05	5 kph	81° true
Trackpoint	59 00.890 6 25.775	04/08/2011 05:24:41 	17 m			6 m	0:00:05	5 kph	83° true
Trackpoint	59 00.890 6 25.782	04/08/2011 05:24:46 	17 m			6 m	0:00:05	5 kph	89° true
Trackpoint	59 00.892 6 25.788	04/08/2011 05:24:51 	17 m			6 m	0:00:05	5 kph	62° true
Trackpoint	59 00.893 6 25.795	04/08/2011 05:24:56 	16 m			7 m	0:00:05	5 kph	77° true
Trackpoint	59 00.893 6 25.800	04/08/2011 05:25:01 	13 m			6 m	0:00:05	4 kph	81° true
Trackpoint	59 00.895 6 25.806	04/08/2011 05:25:06 	13 m			7 m	0:00:05	5 kph	54° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:25:11 	14 m			2 m	0:00:05	2 kph	96° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:25:16 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:25:21 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:25:26 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:25:31 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:25:36 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:25:41 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:25:46 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:25:51 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:25:56 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:26:01 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:26:06 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:26:11 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:26:16 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:26:21 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:26:26 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:26:31 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:26:36 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:26:41 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:26:46 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.895 6 25.808	04/08/2011 05:26:51 	14 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.896 6 25.830	04/08/2011 05:26:56 	9 m			21 m	0:00:05	15 kph	83° true
Trackpoint	59 00.897 6 25.837	04/08/2011 05:27:01 	9 m			7 m	0:00:05	5 kph	80° true
Trackpoint	59 00.898 6 25.845	04/08/2011 05:27:06 	8 m			8 m	0:00:05	5 kph	70° true
Trackpoint	59 00.900 6 25.851	04/08/2011 05:27:11 	7 m			7 m	0:00:05	5 kph	68° true
Trackpoint	59 00.901 6 25.860	04/08/2011 05:27:16 	10 m			8 m	0:00:05	6 kph	77° true
Trackpoint	59 00.903 6 25.867	04/08/2011 05:27:21 	11 m			8 m	0:00:05	6 kph	57° true
Trackpoint	59 00.905 6 25.873	04/08/2011 05:27:26 	10 m			7 m	0:00:05	5 kph	66° true
Trackpoint	59 00.905 6 25.879	04/08/2011 05:27:31 	9 m			5 m	0:00:05	4 kph	83° true
Trackpoint	59 00.907 6 25.884	04/08/2011 05:27:36 	9 m			7 m	0:00:05	5 kph	56° true
Trackpoint	59 00.909 6 25.891	04/08/2011 05:27:41 	9 m			7 m	0:00:05	5 kph	53° true
Trackpoint	59 00.911 6 25.896	04/08/2011 05:27:46 	9 m			6 m	0:00:05	4 kph	58° true
Trackpoint	59 00.914 6 25.896	04/08/2011 05:27:51 	8 m			5 m	0:00:05	3 kph	4° true
Trackpoint	59 00.915 6 25.890	04/08/2011 05:27:56 	7 m			6 m	0:00:05	5 kph	285° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:01 	7 m			2 m	0:00:05	1.1 kph	278° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:06 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:11 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:16 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:21 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:26 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:31 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:36 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:41 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:46 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:51 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:56 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:01 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:06 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:11 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:16 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:21 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:26 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:31 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:36 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.914 6 25.903	04/08/2011 05:29:41 	13 m			14 m	0:00:05	10 kph	95° true
Trackpoint	59 00.911 6 25.900	04/08/2011 05:29:46 	13 m			6 m	0:00:05	4 kph	206° true
Trackpoint	59 00.910 6 25.900	04/08/2011 05:29:51 	13 m			2 m	0:00:05	2 kph	186° true
Trackpoint	59 00.910 6 25.900	04/08/2011 05:29:56 	13 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.913 6 25.909	04/08/2011 05:30:01 	10 m			10 m	0:00:05	7 kph	59° true
Trackpoint	59 00.915 6 25.915	04/08/2011 05:30:06 	11 m			7 m	0:00:05	5 kph	50° true
Trackpoint	59 00.917 6 25.921	04/08/2011 05:30:11 	10 m			7 m	0:00:05	5 kph	56° true
Trackpoint	59 00.920 6 25.926	04/08/2011 05:30:16 	10 m			7 m	0:00:05	5 kph	51° true
Trackpoint	59 00.922 6 25.932	04/08/2011 05:30:21 	10 m			7 m	0:00:05	5 kph	53° true
Trackpoint	59 00.923 6 25.938	04/08/2011 05:30:26 	11 m			6 m	0:00:05	4 kph	63° true
Trackpoint	59 00.925 6 25.943	04/08/2011 05:30:31 	11 m			6 m	0:00:05	4 kph	54° true
Trackpoint	59 00.927 6 25.948	04/08/2011 05:30:36 	10 m			6 m	0:00:05	4 kph	57° true
Trackpoint	59 00.929 6 25.953	04/08/2011 05:30:41 	11 m			6 m	0:00:05	4 kph	55° true
Trackpoint	59 00.929 6 25.953	04/08/2011 05:30:46 	11 m			1 m	0:00:05	0.6 kph	34° true
Trackpoint	59 00.929 6 25.953	04/08/2011 05:30:51 	11 m			0 m	0:00:05	0 kph	0° true
